2023-06-20 08:26:45,540 INFO    StreamThr :1940153 [internal.py:wandb_internal():86] W&B internal server running at pid: 1940153, started at: 2023-06-20 08:26:45.540342
2023-06-20 08:26:45,541 DEBUG   HandlerThread:1940153 [handler.py:handle_request():144] handle_request: status
2023-06-20 08:26:45,542 INFO    WriterThread:1940153 [datastore.py:open_for_write():85] open: /disk/models/Bloom-Lora/trainer/wandb/offline-run-20230620_082645-g47jhhxc/run-g47jhhxc.wandb
2023-06-20 08:26:45,588 DEBUG   HandlerThread:1940153 [handler.py:handle_request():144] handle_request: run_start
2023-06-20 08:26:45,591 DEBUG   HandlerThread:1940153 [system_info.py:__init__():31] System info init
2023-06-20 08:26:45,591 DEBUG   HandlerThread:1940153 [system_info.py:__init__():46] System info init done
2023-06-20 08:26:45,591 INFO    HandlerThread:1940153 [system_monitor.py:start():181] Starting system monitor
2023-06-20 08:26:45,591 INFO    SystemMonitor:1940153 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-20 08:26:45,591 INFO    HandlerThread:1940153 [system_monitor.py:probe():201] Collecting system info
2023-06-20 08:26:45,592 INFO    SystemMonitor:1940153 [interfaces.py:start():190] Started cpu monitoring
2023-06-20 08:26:45,592 INFO    SystemMonitor:1940153 [interfaces.py:start():190] Started disk monitoring
2023-06-20 08:26:45,593 INFO    SystemMonitor:1940153 [interfaces.py:start():190] Started gpu monitoring
2023-06-20 08:26:45,593 INFO    SystemMonitor:1940153 [interfaces.py:start():190] Started memory monitoring
2023-06-20 08:26:45,593 INFO    SystemMonitor:1940153 [interfaces.py:start():190] Started network monitoring
2023-06-20 08:26:45,607 DEBUG   HandlerThread:1940153 [system_info.py:probe():195] Probing system
2023-06-20 08:26:45,607 DEBUG   HandlerThread:1940153 [system_info.py:_probe_git():180] Probing git
2023-06-20 08:26:45,609 DEBUG   HandlerThread:1940153 [system_info.py:_probe_git():188] Probing git done
2023-06-20 08:26:45,609 DEBUG   HandlerThread:1940153 [system_info.py:probe():240] Probing system done
