2023-06-20 09:16:31,185 INFO    StreamThr :1945466 [internal.py:wandb_internal():86] W&B internal server running at pid: 1945466, started at: 2023-06-20 09:16:31.185243
2023-06-20 09:16:31,186 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: status
2023-06-20 09:16:31,187 INFO    WriterThread:1945466 [datastore.py:open_for_write():85] open: /disk/models/Bloom-Lora/trainer/wandb/offline-run-20230620_091631-7s0gja4t/run-7s0gja4t.wandb
2023-06-20 09:16:31,232 DEBUG   HandlerThread:1945466 [handler.py:handle_request():144] handle_request: run_start
2023-06-20 09:16:31,235 DEBUG   HandlerThread:1945466 [system_info.py:__init__():31] System info init
2023-06-20 09:16:31,235 DEBUG   HandlerThread:1945466 [system_info.py:__init__():46] System info init done
2023-06-20 09:16:31,235 INFO    HandlerThread:1945466 [system_monitor.py:start():181] Starting system monitor
2023-06-20 09:16:31,235 INFO    SystemMonitor:1945466 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-20 09:16:31,236 INFO    HandlerThread:1945466 [system_monitor.py:probe():201] Collecting system info
2023-06-20 09:16:31,236 INFO    SystemMonitor:1945466 [interfaces.py:start():190] Started cpu monitoring
2023-06-20 09:16:31,236 INFO    SystemMonitor:1945466 [interfaces.py:start():190] Started disk monitoring
2023-06-20 09:16:31,237 INFO    SystemMonitor:1945466 [interfaces.py:start():190] Started gpu monitoring
2023-06-20 09:16:31,237 INFO    SystemMonitor:1945466 [interfaces.py:start():190] Started memory monitoring
2023-06-20 09:16:31,237 INFO    SystemMonitor:1945466 [interfaces.py:start():190] Started network monitoring
2023-06-20 09:16:31,251 DEBUG   HandlerThread:1945466 [system_info.py:probe():195] Probing system
2023-06-20 09:16:31,251 DEBUG   HandlerThread:1945466 [system_info.py:_probe_git():180] Probing git
2023-06-20 09:16:31,253 DEBUG   HandlerThread:1945466 [system_info.py:_probe_git():188] Probing git done
2023-06-20 09:16:31,253 DEBUG   HandlerThread:1945466 [system_info.py:probe():240] Probing system done
